index,algorithm,n,time_mean,time_std,m
0,CountingSort,100.0,0.01105470000038622,0.0,
1,CountingSort,107.0,0.005050600000686245,0.0,
2,CountingSort,114.0,0.0038686999996571103,0.0,
3,CountingSort,123.0,0.0037675000003218884,0.0,
4,CountingSort,132.0,0.004076400000485592,0.0,
5,CountingSort,141.0,0.004299799998989329,0.0,
6,CountingSort,151.0,0.0037492000010388438,0.0,
7,CountingSort,162.0,0.00428979999924195,0.0,
8,CountingSort,174.0,0.004153399999268004,0.0,
9,CountingSort,187.0,0.005667000001267297,0.0,
10,CountingSort,200.0,0.008894399999917368,0.0,
11,CountingSort,215.0,0.008888199998182245,0.0,
12,CountingSort,231.0,0.008786899999904563,0.0,
13,CountingSort,247.0,0.009065000000191503,0.0,
14,CountingSort,265.0,0.008600000001024455,0.0,
15,CountingSort,284.0,0.003627400001278147,0.0,
16,CountingSort,305.0,0.0038308999992295867,0.0,
17,CountingSort,327.0,0.003803199999310891,0.0,
18,CountingSort,351.0,0.005842399998073233,0.0,
19,CountingSort,376.0,0.008997299999464303,0.0,
20,CountingSort,403.0,0.003930499999114545,0.0,
21,CountingSort,432.0,0.003920600001947605,0.0,
22,CountingSort,464.0,0.004482100001041545,0.0,
23,CountingSort,497.0,0.003862300001856056,0.0,
24,CountingSort,533.0,0.004291600000215112,0.0,
25,CountingSort,572.0,0.003776399998969282,0.0,
26,CountingSort,613.0,0.004304600000978098,0.0,
27,CountingSort,657.0,0.003793900001255679,0.0,
28,CountingSort,705.0,0.0038788000001659384,0.0,
29,CountingSort,756.0,0.003788600000916631,0.0,
30,CountingSort,811.0,0.009357900000395603,0.0,
31,CountingSort,869.0,0.0038760999996156897,0.0,
32,CountingSort,932.0,0.0038278999982139794,0.0,
33,CountingSort,999.0,0.003932099998564809,0.0,
34,CountingSort,1072.0,0.003930400000172085,0.0,
35,CountingSort,1149.0,0.003961000000344939,0.0,
36,CountingSort,1232.0,0.010125099999640952,0.0,
37,CountingSort,1321.0,0.0052769999983866,0.0,
38,CountingSort,1417.0,0.0033779999994294485,0.0,
39,CountingSort,1519.0,0.005996699999741395,0.0,
40,CountingSort,1629.0,0.0033833999987109564,0.0,
41,CountingSort,1747.0,0.004669100000683102,0.0,
42,CountingSort,1873.0,0.003254999999626307,0.0,
43,CountingSort,2009.0,0.00452680000125838,0.0,
44,CountingSort,2154.0,0.004095799999049632,0.0,
45,CountingSort,2310.0,0.004093599998668651,0.0,
46,CountingSort,2477.0,0.004233800000292831,0.0,
47,CountingSort,2656.0,0.011092099999586935,0.0,
48,CountingSort,2848.0,0.011237299999265815,0.0,
49,CountingSort,3053.0,0.003713799998877221,0.0,
50,CountingSort,3274.0,0.004309400001147878,0.0,
51,CountingSort,3511.0,0.004278000002159388,0.0,
52,CountingSort,3764.0,0.002779600001304061,0.0,
53,CountingSort,4037.0,0.004524199997831602,0.0,
54,CountingSort,4328.0,0.004334399998697336,0.0,
55,CountingSort,4641.0,0.01355390000026091,0.0,
