index,algorithm,m,time_mean,time_std
0,CountingSort,10,0.0015432999989570817,0.0
1,CountingSort,11,0.004701300000306219,0.0
2,CountingSort,12,0.008111500001177774,0.0
3,CountingSort,14,0.008253699999841047,0.0
4,CountingSort,15,-0.0013304000003699912,0.0
5,CountingSort,17,0.00436210000225401,0.0
6,CountingSort,20,-0.0009540999999444466,0.0
7,CountingSort,22,0.0041111999980785185,0.0
8,CountingSort,25,0.0015419000010297168,0.0
9,CountingSort,28,0.009221199999956298,0.0
10,CountingSort,31,0.0038442000004579313,0.0
11,CountingSort,35,0.008353699999133823,0.0
12,CountingSort,40,0.003608900000472204,0.0
13,CountingSort,45,0.008147700000336044,0.0
14,CountingSort,50,0.0026567999993858393,0.0
15,CountingSort,57,-0.0020249000008334406,0.0
16,CountingSort,64,0.001513600000180304,0.0
17,CountingSort,72,0.008613600000899169,0.0
18,CountingSort,81,0.0014567999987775693,0.0
19,CountingSort,91,0.00809300000037183,0.0
20,CountingSort,102,-0.0011554999982763547,0.0
21,CountingSort,114,0.00795769999967888,0.0
22,CountingSort,129,0.005669000000125379,0.0
23,CountingSort,145,-0.0022628999995504273,0.0
24,CountingSort,162,0.0018748000020423206,0.0
25,CountingSort,183,0.007763100000374834,0.0
26,CountingSort,205,0.0014787000000069384,0.0
27,CountingSort,231,0.00832059999811463,0.0
28,CountingSort,259,-0.004245400001309463,0.0
29,CountingSort,291,0.0009976999990612967,0.0
30,CountingSort,327,0.0017201000009663403,0.0
31,CountingSort,367,0.009004199999253615,0.0
32,CountingSort,413,0.0018319999999221181,0.0
33,CountingSort,464,0.0018517999997129664,0.0
34,CountingSort,521,0.00200089999998454,0.0
35,CountingSort,585,0.004085199998371536,0.0
36,CountingSort,657,0.0005016000013711164,0.0
37,CountingSort,739,0.0018006999998760875,0.0
38,CountingSort,830,0.00859399999899324,0.0
39,CountingSort,932,0.010523700000703684,0.0
40,CountingSort,1047,0.0007659000020794338,0.0
41,CountingSort,1176,-0.003038599999854341,0.0
42,CountingSort,1321,0.0043892000012419885,0.0
43,CountingSort,1484,0.008890999999493943,0.0
44,CountingSort,1668,0.004830999998375773,0.0
45,CountingSort,1873,0.009178999998766812,0.0
46,CountingSort,2104,0.002005099999223603,0.0
47,CountingSort,2364,0.009243500000593485,0.0
48,CountingSort,2656,-0.0029390999989118427,0.0
49,CountingSort,2983,0.0035410999989835545,0.0
50,CountingSort,3351,-0.0025337000006402377,0.0
51,CountingSort,3764,0.009639599998990889,0.0
52,CountingSort,4229,0.002270900000439724,0.0
53,CountingSort,4750,0.0024806000001262873,0.0
54,CountingSort,5336,-0.0030910999994375743,0.0
55,CountingSort,5994,0.009342499997728737,0.0
56,CountingSort,6734,0.005220600000029663,0.0
57,CountingSort,7564,0.004779400000188616,0.0
58,CountingSort,8497,0.004024199999548728,0.0
59,CountingSort,9545,0.009858000001258915,0.0
60,CountingSort,10722,0.0002525999989302363,0.0
61,CountingSort,12045,0.007065699999657227,0.0
62,CountingSort,13530,0.0013728000012633856,0.0
63,CountingSort,15199,-0.0023118999997677747,0.0
64,CountingSort,17073,0.008325999997396138,0.0
65,CountingSort,19179,0.002662300001247786,0.0
66,CountingSort,21544,0.0036426000006031245,0.0
67,CountingSort,24201,0.006315700000413926,0.0
68,CountingSort,27185,-0.0016674999988026684,0.0
69,CountingSort,30538,0.00699950000125682,0.0
70,CountingSort,34304,0.004375999997137114,0.0
71,CountingSort,38535,-0.0020208000005368376,0.0
72,CountingSort,43287,0.008019000000786036,0.0
73,CountingSort,48626,0.00881180000033055,0.0
74,CountingSort,54622,-0.0011169999997946434,0.0
75,CountingSort,61359,0.007402100000035716,0.0
76,CountingSort,68926,0.003534100000251783,0.0
77,CountingSort,77426,0.015928399998301757,0.0
78,CountingSort,86974,0.0005999000004521804,0.0
79,CountingSort,97700,0.0166771999993216,0.0
80,QuickSort,10,0.7608492999988812,0.0
81,QuickSort,11,0.6127288999996381,0.0
82,QuickSort,12,0.6473254000011366,0.0
83,QuickSort,14,0.5546787999992375,0.0
84,QuickSort,15,0.4693136999994749,0.0
85,QuickSort,17,0.44789680000030785,0.0
86,QuickSort,20,0.3539196000001539,0.0
87,QuickSort,22,0.29750889999922947,0.0
88,QuickSort,25,0.3559811000013724,0.0
89,QuickSort,28,0.279588600002171,0.0
90,QuickSort,31,0.22110190000057628,0.0
91,QuickSort,35,0.18105189999914728,0.0
92,QuickSort,40,0.2052616000019043,0.0
93,QuickSort,45,0.15175389999967592,0.0
94,QuickSort,50,0.1458201999994344,0.0
95,QuickSort,57,0.12026700000023993,0.0
96,QuickSort,64,0.08410510000067006,0.0
97,QuickSort,72,0.1163527000007889,0.0
98,QuickSort,81,0.10184629999821482,0.0
99,QuickSort,91,0.08037220000187517,0.0
100,QuickSort,102,0.07114440000077593,0.0
101,QuickSort,114,0.05410610000035376,0.0
102,QuickSort,129,0.05981510000128765,0.0
103,QuickSort,145,0.0640373999995063,0.0
104,QuickSort,162,0.041352700000061304,0.0
105,QuickSort,183,0.07596860000012384,0.0
106,QuickSort,205,0.03365829999893322,0.0
107,QuickSort,231,0.05957949999901757,0.0
108,QuickSort,259,0.028945099998963997,0.0
109,QuickSort,291,0.03413729999920179,0.0
110,QuickSort,327,0.03160879999995814,0.0
111,QuickSort,367,0.023758700001053512,0.0
112,QuickSort,413,0.03409950000059325,0.0
113,QuickSort,464,0.050912099999550264,0.0
114,QuickSort,521,0.021200400000452646,0.0
