index,algorithm,n,time_mean,time_std
0,CountingSort,100,0.01105470000038622,0.0
1,CountingSort,107,0.005050600000686245,0.0
2,CountingSort,114,0.0038686999996571103,0.0
3,CountingSort,123,0.0037675000003218884,0.0
4,CountingSort,132,0.004076400000485592,0.0
5,CountingSort,141,0.004299799998989329,0.0
6,CountingSort,151,0.0037492000010388438,0.0
7,CountingSort,162,0.00428979999924195,0.0
8,CountingSort,174,0.004153399999268004,0.0
9,CountingSort,187,0.005667000001267297,0.0
10,CountingSort,200,0.008894399999917368,0.0
11,CountingSort,215,0.008888199998182245,0.0
12,CountingSort,231,0.008786899999904563,0.0
13,CountingSort,247,0.009065000000191503,0.0
14,CountingSort,265,0.008600000001024455,0.0
15,CountingSort,284,0.003627400001278147,0.0
16,CountingSort,305,0.0038308999992295867,0.0
17,CountingSort,327,0.003803199999310891,0.0
18,CountingSort,351,0.005842399998073233,0.0
19,CountingSort,376,0.008997299999464303,0.0
20,CountingSort,403,0.003930499999114545,0.0
21,CountingSort,432,0.003920600001947605,0.0
22,CountingSort,464,0.004482100001041545,0.0
23,CountingSort,497,0.003862300001856056,0.0
24,CountingSort,533,0.004291600000215112,0.0
25,CountingSort,572,0.003776399998969282,0.0
26,CountingSort,613,0.004304600000978098,0.0
27,CountingSort,657,0.003793900001255679,0.0
28,CountingSort,705,0.0038788000001659384,0.0
29,CountingSort,756,0.003788600000916631,0.0
30,CountingSort,811,0.009357900000395603,0.0
31,CountingSort,869,0.0038760999996156897,0.0
32,CountingSort,932,0.0038278999982139794,0.0
33,CountingSort,999,0.003932099998564809,0.0
34,CountingSort,1072,0.003930400000172085,0.0
35,CountingSort,1149,0.003961000000344939,0.0
36,CountingSort,1232,0.010125099999640952,0.0
37,CountingSort,1321,0.0052769999983866,0.0
38,CountingSort,1417,0.0033779999994294485,0.0
39,CountingSort,1519,0.005996699999741395,0.0
40,CountingSort,1629,0.0033833999987109564,0.0
41,CountingSort,1747,0.004669100000683102,0.0
42,CountingSort,1873,0.003254999999626307,0.0
43,CountingSort,2009,0.00452680000125838,0.0
44,CountingSort,2154,0.004095799999049632,0.0
45,CountingSort,2310,0.004093599998668651,0.0
46,CountingSort,2477,0.004233800000292831,0.0
47,CountingSort,2656,0.011092099999586935,0.0
48,CountingSort,2848,0.011237299999265815,0.0
49,CountingSort,3053,0.003713799998877221,0.0
50,CountingSort,3274,0.004309400001147878,0.0
51,CountingSort,3511,0.004278000002159388,0.0
52,CountingSort,3764,0.002779600001304061,0.0
53,CountingSort,4037,0.004524199997831602,0.0
54,CountingSort,4328,0.004334399998697336,0.0
55,CountingSort,4641,0.01355390000026091,0.0
56,CountingSort,4977,0.011187300000528921,0.0
57,CountingSort,5336,0.0021797000008518808,0.0
58,CountingSort,5722,0.0036526000003505033,0.0
59,CountingSort,6135,0.011570999999094056,0.0
60,CountingSort,6579,0.012100300000383868,0.0
61,CountingSort,7054,0.00695350000023609,0.0
62,CountingSort,7564,0.005434800001239637,0.0
63,CountingSort,8111,0.004364000000350643,0.0
64,CountingSort,8697,0.0057300999978906475,0.0
65,CountingSort,9326,0.013008499998250045,0.0
66,CountingSort,9999,0.003811200000200188,0.0
67,CountingSort,10722,0.006719000002703979,0.0
68,CountingSort,11497,0.007677999999941676,0.0
69,CountingSort,12328,0.007233299998915754,0.0
70,CountingSort,13219,0.011099499997726525,0.0
71,CountingSort,14174,0.019627600000603707,0.0
72,CountingSort,15199,0.01638509999793314,0.0
73,CountingSort,16297,0.006462600000304519,0.0
74,CountingSort,17475,0.020811200001844554,0.0
75,CountingSort,18738,0.01709140000093612,0.0
76,CountingSort,20092,0.027786499998910585,0.0
77,CountingSort,21544,0.00808119999965129,0.0
78,CountingSort,23101,0.018207900000561494,0.0
79,CountingSort,24770,0.014173800000207848,0.0
80,CountingSort,26560,0.02298299999893061,0.0
81,CountingSort,28480,0.021713099999033147,0.0
82,CountingSort,30538,0.006276500002059038,0.0
83,CountingSort,32745,0.017644399998971494,0.0
84,CountingSort,35111,0.03936679999969783,0.0
85,CountingSort,37649,0.01687110000057146,0.0
86,CountingSort,40370,0.020890499999950407,0.0
87,CountingSort,43287,0.01992459999928542,0.0
88,CountingSort,46415,0.016501399999469868,0.0
89,CountingSort,49770,0.03711259999909089,0.0
90,QuickSort,100,0.00011059999997087289,0.0
91,QuickSort,107,0.00014860000010230578,0.0
92,QuickSort,114,7.279999954334926e-05,0.0
93,QuickSort,123,7.700000060140155e-05,0.0
94,QuickSort,132,8.429999979853164e-05,0.0
95,QuickSort,141,8.780000098340679e-05,0.0
96,QuickSort,151,0.0001033000007737428,0.0
97,QuickSort,162,9.410000166099053e-05,0.0
98,QuickSort,174,7.759999971312936e-05,0.0
99,QuickSort,187,0.00011610000001383014,0.0
100,QuickSort,200,0.0003082000002905261,0.0
101,QuickSort,215,0.0003141999986837618,0.0
102,QuickSort,231,0.0003668999979709042,0.0
103,QuickSort,247,0.000377200000002631,0.0
104,QuickSort,265,0.0004237000011926284,0.0
105,QuickSort,284,5.800000508315861e-06,0.0
106,QuickSort,305,0.000227999998969608,0.0
107,QuickSort,327,0.00024120000125549268,0.0
108,QuickSort,351,0.0002778999987640418,0.0
109,QuickSort,376,0.000710700001945952,0.0
110,QuickSort,403,0.0003863000001729233,0.0
111,QuickSort,432,0.00037010000050941017,0.0
112,QuickSort,464,0.00038300000051094685,0.0
113,QuickSort,497,0.0003834000017377548,0.0
114,QuickSort,533,0.00048600000081933104,0.0
115,QuickSort,572,0.0005167999988771044,0.0
116,QuickSort,613,0.0005101999995531514,0.0
117,QuickSort,657,0.0006539000005432172,0.0
118,QuickSort,705,0.000744200000553974,0.0
119,QuickSort,756,0.0008178999996744096,0.0
120,QuickSort,811,0.0007255999989865813,0.0
121,QuickSort,869,0.0008090999999694759,0.0
122,QuickSort,932,0.00083959999938088,0.0
123,QuickSort,999,0.0012851999999838881,0.0
124,QuickSort,1072,0.0012822999997297302,0.0
125,QuickSort,1149,0.001679599999988568,0.0
126,QuickSort,1232,0.003144300000712974,0.0
127,QuickSort,1321,0.0013271999996504746,0.0
128,QuickSort,1417,0.003061299998080358,0.0
129,QuickSort,1519,0.0010214999983872985,0.0
130,QuickSort,1629,0.004319300000133808,0.0
131,QuickSort,1747,0.00213390000135405,0.0
132,QuickSort,1873,0.0047118000002228655,0.0
133,QuickSort,2009,0.00230089999968186,0.0
134,QuickSort,2154,0.002274599999509519,0.0
135,QuickSort,2310,0.0023903000001155306,0.0
136,QuickSort,2477,0.002837399999407353,0.0
137,QuickSort,2656,0.005707900001652888,0.0
138,QuickSort,2848,0.005457900000692462,0.0
139,QuickSort,3053,0.0057108999990305165,0.0
140,QuickSort,3274,0.0038468000002467306,0.0
141,QuickSort,3511,0.004192200000034063,0.0
142,QuickSort,3764,0.008819700000458397,0.0
143,QuickSort,4037,0.004730799999379087,0.0
144,QuickSort,4328,0.00503740000021935,0.0
145,QuickSort,4641,0.006258499997784384,0.0
146,QuickSort,4977,0.013906499998483923,0.0
147,QuickSort,5336,0.013812500001222361,0.0
148,QuickSort,5722,0.017242600000827224,0.0
149,QuickSort,6135,0.008760699998674681,0.0
150,QuickSort,6579,0.0117151999984344,0.0
151,QuickSort,7054,0.021009699999922304,0.0
152,QuickSort,7564,0.009988200001316727,0.0
153,QuickSort,8111,0.009541999999783002,0.0
154,QuickSort,8697,0.02599969999755558,0.0
155,QuickSort,9326,0.015390700000352808,0.0
156,QuickSort,9999,0.02266810000037367,0.0
157,QuickSort,10722,0.033847300001070835,0.0
158,QuickSort,11497,0.01610689999870374,0.0
159,QuickSort,12328,0.018094699998982833,0.0
160,QuickSort,13219,0.039782399997420725,0.0
161,QuickSort,14174,0.04802240000208258,0.0
162,QuickSort,15199,0.04051860000072338,0.0
163,QuickSort,16297,0.03856730000006792,0.0
164,QuickSort,17475,0.031280500001230394,0.0
165,QuickSort,18738,0.03421810000145342,0.0
166,QuickSort,20092,0.045168399998146924,0.0
167,QuickSort,21544,0.05454470000040601,0.0
168,QuickSort,23101,0.06100730000071053,0.0
169,QuickSort,24770,0.04271109999899636,0.0
170,QuickSort,26560,0.03966659999969124,0.0
171,QuickSort,28480,0.07843230000071344,0.0
172,QuickSort,30538,0.10012230000029376,0.0
173,QuickSort,32745,0.06116940000174509,0.0
174,QuickSort,35111,0.0792607000003045,0.0
175,QuickSort,37649,0.08525330000156828,0.0
176,QuickSort,40370,0.11131510000086564,0.0
177,QuickSort,43287,0.09976110000025074,0.0
178,QuickSort,46415,0.09869549999893934,0.0
179,QuickSort,49770,0.1248488000001089,0.0
180,QuickSort,53366,0.15249140000196348,0.0
181,QuickSort,57223,0.13615800000115996,0.0
182,QuickSort,61359,0.13328319999891391,0.0
183,QuickSort,65793,0.18962109999847598,0.0
184,QuickSort,70548,0.19998350000059872,0.0
185,QuickSort,75646,0.18820489999961865,0.0
186,QuickSort,81113,0.30962579999868467,0.0
187,QuickSort,86974,0.2522884999998496,0.0
188,QuickSort,93260,0.31537089999983436,0.0
189,QuickSort,100000,0.3264318000019557,0.0
190,QuickSort3Way,100,0.00024339999981748406,0.0
191,QuickSort3Way,107,0.00022949999947741162,0.0
192,QuickSort3Way,114,0.00010660000043571927,0.0
193,QuickSort3Way,123,0.00010170000132347923,0.0
194,QuickSort3Way,132,0.00011780000022554304,0.0
195,QuickSort3Way,141,0.00012880000031145755,0.0
196,QuickSort3Way,151,0.0001399000011588214,0.0
197,QuickSort3Way,162,0.00013749999925494194,0.0
198,QuickSort3Way,174,0.0002630000017234124,0.0
199,QuickSort3Way,187,0.00019500000053085387,0.0
200,QuickSort3Way,200,0.0004365999993751757,0.0
201,QuickSort3Way,215,0.0004970999998477055,0.0
202,QuickSort3Way,231,0.0005237999976088759,0.0
203,QuickSort3Way,247,0.0006220000013854587,0.0
204,QuickSort3Way,265,0.0007083000000420725,0.0
205,QuickSort3Way,284,0.0001391000005241949,0.0
206,QuickSort3Way,305,0.0003488000002107583,0.0
207,QuickSort3Way,327,0.00034950000008393545,0.0
208,QuickSort3Way,351,0.00036699999873235356,0.0
209,QuickSort3Way,376,0.0011190999994141748,0.0
210,QuickSort3Way,403,0.00043929999810643494,0.0
211,QuickSort3Way,432,0.0005342000022210414,0.0
212,QuickSort3Way,464,0.0005682999999407912,0.0
213,QuickSort3Way,497,0.0005615999998553889,0.0
214,QuickSort3Way,533,0.0006646000001637731,0.0
215,QuickSort3Way,572,0.0007228999984363327,0.0
216,QuickSort3Way,613,0.0007468000003427733,0.0
217,QuickSort3Way,657,0.0009439999994356185,0.0
218,QuickSort3Way,705,0.0010225999994872836,0.0
219,QuickSort3Way,756,0.0011962999997194856,0.0
220,QuickSort3Way,811,0.0012209000014991034,0.0
221,QuickSort3Way,869,0.0011667000017041573,0.0
222,QuickSort3Way,932,0.0011337999985698843,0.0
223,QuickSort3Way,999,0.0015105000002222368,0.0
224,QuickSort3Way,1072,0.001573699999426026,0.0
225,QuickSort3Way,1149,0.0016765000000305008,0.0
226,QuickSort3Way,1232,0.0047505999991699355,0.0
227,QuickSort3Way,1321,0.001939399997354485,0.0
228,QuickSort3Way,1417,0.0018050999988190597,0.0
229,QuickSort3Way,1519,0.0016700999985914677,0.0
230,QuickSort3Way,1629,0.004804700000022422,0.0
231,QuickSort3Way,1747,0.0026651000007404946,0.0
