QuickSort
n;t(n)
50748.0;0.0512576
51177.0;0.050346
52991.0;0.0510817
53472.0;0.0507542
54746.0;0.0509703
55297.0;0.051841
55496.0;0.0513839
55561.0;0.0528087
55917.0;0.051141
56137.0;0.0513992
56524.0;0.0517554
57567.0;0.0523249
57772.0;0.0524931
58216.0;0.0527994
58407.0;0.053039
58925.0;0.0522744
60084.0;0.05237
60347.0;0.052637
60511.0;0.0531087
60673.0;0.0536302
60799.0;0.0540609
61287.0;0.0529668
61871.0;0.0536089
62134.0;0.0534113
62647.0;0.0554648
63548.0;0.0539651
63722.0;0.0537676
63820.0;0.0539535
64626.0;0.0542784
64677.0;0.0557322
65227.0;0.0541438
66005.0;0.0549176
66121.0;0.0546377
66130.0;0.0587392
66434.0;0.054951
67024.0;0.0569727
67190.0;0.0617013
68561.0;0.0640667
68566.0;0.0574496
68887.0;0.0553417
68898.0;0.0558026
68913.0;0.0589863
68953.0;0.0560582
70961.0;0.0602871
71019.0;0.056052
71934.0;0.0616055
72199.0;0.0575588
72829.0;0.0573867
73126.0;0.0563463
73169.0;0.0569052
73368.0;0.0693317
74068.0;0.0571108
74393.0;0.0582213
74790.0;0.0575244
75653.0;0.057457
75966.0;0.0566578
76006.0;0.0674513
76031.0;0.0688086
76327.0;0.0615152
76515.0;0.0579471
76571.0;0.0574452
76605.0;0.0583338
78004.0;0.0586645
78422.0;0.0648046
78555.0;0.0586517
78622.0;0.0589705
79289.0;0.0591852
79518.0;0.0698799
79575.0;0.0587105
80016.0;0.0586748
82149.0;0.0640459
82159.0;0.0598702
82336.0;0.060481
82548.0;0.0597654
82652.0;0.0604808
83445.0;0.0615661
83614.0;0.0604013
83793.0;0.0708204
83864.0;0.0713733
84566.0;0.0602322
85442.0;0.0610104
85583.0;0.0604146
85702.0;0.0615258
86021.0;0.0613128
86583.0;0.0619597
87058.0;0.0615826
87447.0;0.0617112
87485.0;0.0612827
87665.0;0.0651674
87812.0;0.0614764
88372.0;0.0617826
89719.0;0.0620596
90486.0;0.0622238
91538.0;0.065798
91660.0;0.062606
91757.0;0.062557
93057.0;0.0630362
93607.0;0.0684743
94343.0;0.0633491
95064.0;0.0642276
95660.0;0.0638186
95987.0;0.0643651
96138.0;0.0641045
96162.0;0.0705967
96531.0;0.0663488
97066.0;0.0646083
97979.0;0.0659019
98737.0;0.076907
99809.0;0.0661475
99819.0;0.0656786
"
";"
";"
"
QuickSort3Way
n;t(n)
685.0;0.0013204
1103.0;0.0013694
1153.0;0.0015599
1492.0;0.0020013
3011.0;0.0045636
3038.0;0.0042328
3169.0;0.0048122
3464.0;0.0054984
4188.0;0.0103125
5508.0;0.0085972
5556.0;0.0099329
5575.0;0.0118126
6372.0;0.0173183
6933.0;0.0113294
7400.0;0.0123155
8454.0;0.0148164
8765.0;0.0150723
9418.0;0.0170672
9558.0;0.0160737
10203.0;0.0184679
10738.0;0.0210622
