algorithm,n,m,time,type
RadixSort,705,100000,0.00032529999953112565,Variazione n
QuickSort,756,100000,0.0008178999996744096,Variazione n
QuickSort3Way,756,100000,0.0011962999997194856,Variazione n
CountingSort,756,100000,0.003788600000916631,Variazione n
RadixSort,756,100000,0.0003546999996615341,Variazione n
QuickSort,811,100000,0.0007255999989865813,Variazione n
QuickSort3Way,811,100000,0.0012209000014991034,Variazione n
CountingSort,811,100000,0.009357900000395603,Variazione n
RadixSort,811,100000,0.0008454999988316558,Variazione n
QuickSort,869,100000,0.0008090999999694759,Variazione n
QuickSort3Way,869,100000,0.0011667000017041573,Variazione n
CountingSort,869,100000,0.0038760999996156897,Variazione n
RadixSort,869,100000,0.0003913000000466127,Variazione n
QuickSort,932,100000,0.00083959999938088,Variazione n
QuickSort3Way,932,100000,0.0011337999985698843,Variazione n
CountingSort,932,100000,0.0038278999982139794,Variazione n
RadixSort,932,100000,0.00031320000016421545,Variazione n
QuickSort,999,100000,0.0012851999999838881,Variazione n
QuickSort3Way,999,100000,0.0015105000002222368,Variazione n
CountingSort,999,100000,0.003932099998564809,Variazione n
RadixSort,999,100000,0.0004958000008628005,Variazione n
QuickSort,1072,100000,0.0012822999997297302,Variazione n
QuickSort3Way,1072,100000,0.001573699999426026,Variazione n
CountingSort,1072,100000,0.003930400000172085,Variazione n
RadixSort,1072,100000,0.0005392000002757413,Variazione n
QuickSort,1149,100000,0.001679599999988568,Variazione n
QuickSort3Way,1149,100000,0.0016765000000305008,Variazione n
CountingSort,1149,100000,0.003961000000344939,Variazione n
RadixSort,1149,100000,0.0006148999982542591,Variazione n
QuickSort,1232,100000,0.003144300000712974,Variazione n
QuickSort3Way,1232,100000,0.0047505999991699355,Variazione n
CountingSort,1232,100000,0.010125099999640952,Variazione n
RadixSort,1232,100000,0.0010407000008854084,Variazione n
QuickSort,1321,100000,0.0013271999996504746,Variazione n
QuickSort3Way,1321,100000,0.001939399997354485,Variazione n
CountingSort,1321,100000,0.0052769999983866,Variazione n
RadixSort,1321,100000,0.0022478999981103698,Variazione n
QuickSort,1417,100000,0.003061299998080358,Variazione n
QuickSort3Way,1417,100000,0.0018050999988190597,Variazione n
CountingSort,1417,100000,0.0033779999994294485,Variazione n
RadixSort,1417,100000,0.00022419999731937423,Variazione n
QuickSort,1519,100000,0.0010214999983872985,Variazione n
QuickSort3Way,1519,100000,0.0016700999985914677,Variazione n
CountingSort,1519,100000,0.005996699999741395,Variazione n
RadixSort,1519,100000,0.0015378999996755738,Variazione n
QuickSort,1629,100000,0.004319300000133808,Variazione n
QuickSort3Way,1629,100000,0.004804700000022422,Variazione n
CountingSort,1629,100000,0.0033833999987109564,Variazione n
RadixSort,1629,100000,9.359999967273325e-05,Variazione n
QuickSort,1747,100000,0.00213390000135405,Variazione n
QuickSort3Way,1747,100000,0.0026651000007404946,Variazione n
CountingSort,1747,100000,0.004669100000683102,Variazione n
RadixSort,1747,100000,0.0028745999989041593,Variazione n
QuickSort,1873,100000,0.0047118000002228655,Variazione n
QuickSort3Way,1873,100000,0.005857300000570831,Variazione n
CountingSort,1873,100000,0.003254999999626307,Variazione n
RadixSort,1873,100000,9.709999903861899e-05,Variazione n
QuickSort,2009,100000,0.00230089999968186,Variazione n
QuickSort3Way,2009,100000,0.003722800000105053,Variazione n
CountingSort,2009,100000,0.00452680000125838,Variazione n
RadixSort,2009,100000,0.0009829999999055872,Variazione n
QuickSort,2154,100000,0.002274599999509519,Variazione n
QuickSort3Way,2154,100000,0.0041270999990956625,Variazione n
CountingSort,2154,100000,0.004095799999049632,Variazione n
RadixSort,2154,100000,0.0015716999987489544,Variazione n
QuickSort,2310,100000,0.0023903000001155306,Variazione n
QuickSort3Way,2310,100000,0.004267099999196944,Variazione n
CountingSort,2310,100000,0.004093599998668651,Variazione n
